FSA04748_LINE,FSA04748_LINE_NAME,RESIDUAL_FSA_BUCKET,CONTRACTUAL_FSA_BUCKET,MATURITY_DATE,ISSUE_MONTH,CONTRACTUAL_MATURITY,WEIGHTING,COUPON,Market,Start Date,Company Name,Security Name,TIDM,ISIN,Security Description, Money Raised (£m) ,Country of Incorporation,World Region,Market Segment Code,Market Segment,Market Sector Code,Trading Currency
40,Senior securities,> 10 years,> 10 years,20/05/2044,3,29.2,"6,596",3.80%,MAIN,18/03/2015,AFFORDABLE HOUSING FINANCE PLC,3.8% GTD  SEC BDS 20/05/44 GBP100000    ,75VM,XS1203979403,Medium Term Loans,225.93628,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP
40,Senior securities,> 10 years,> 10 years,11/08/2045,8,30.0,"6,244",2.89%,MAIN,12/08/2015,AFFORDABLE HOUSING FINANCE PLC,2.893% GTD SEC BDS 11/08/45 GBP100000   ,92XL,XS1273543162,Bonds,208,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIOW,GBP
40,Senior securities,> 10 years,> 10 years,26/01/2026,1,11.0,439,1.65%,MAIN,26/01/2015,AKADEMISKA HUS AB,1.65% NTS 26/01/26 SEK1000000           ,65DS,XS1170575002,Medium Term Loans,39.87654459,Sweden,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,SEK
40,Senior securities,> 10 years,> 10 years,17/04/2045,4,30.0,464,2.08%,MAIN,17/04/2015,AKADEMISKA HUS AB,2.08% NTS 17/04/45 SEK1000000           ,76ZY,XS1218294012,Medium Term Loans,15.45475714,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
42,Structured notes,> 5 years <= 10 years,> 10 years,01/06/2025,4,10.1,439,N/A,MAIN,21/04/2015,AKADEMISKA HUS AB,CPI LKD SNR NTS 01/06/25 SEK1000000     ,77KJ,XS1221107888,Medium Term Loans,43.40306024,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,10/01/2018,7,2.5,97,N/A,MAIN,03/07/2015,AKADEMISKA HUS AB,FRN 10/01/18 SEK1000000                 ,88LQ,XS1255544071,Medium Term Loans,38.44438635,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,09/07/2018,7,3.0,69,0.52%,MAIN,09/07/2015,AKADEMISKA HUS AB,0.515% NTS 09/07/18 SEK1000000          ,88LV,XS1257021631,Medium Term Loans,23.06663181,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,21/08/2019,8,4.0,303,N/A,MAIN,21/08/2015,AKADEMISKA HUS AB,FRN 21/08/19 SEK1000000                 ,93FM,XS1278329351,Medium Term Loans,75.68564762,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
43,Covered bonds,> 2 years <= 5 years,> 5 years <= 10 years,26/05/2020,5,5.0,898,0.38%,MAIN,26/05/2015,ALANDSBANKEN ABP,0.375% CVD BDS 26/05/20 EUR100000       ,81MY,XS1238023813,Medium Term Loans,179.4836663,Finland,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 2 weeks <= 1 month,> 6 months <= 1 year,30/11/2015,5,0.6,621,6.05%,MAIN,06/05/2015,ALPHA BANK A.E.,FRN 30/11/15 EUR100000                  ,79EP,XS1225028304,Medium Term Loans,1090.116279,Greece,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 3 months <= 6 months,> 6 months <= 1 year,25/04/2016,5,0.9,"2,453",5.95%,MAIN,28/05/2015,ALPHA BANK A.E.,FRN 25/04/16 EUR100000                  ,66YO,XS1238049453,Medium Term Loans,2688.985652,Greece,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 6 months <= 1 year,> 6 months <= 1 year,15/07/2016,7,1.0,607,6.17%,MAIN,31/07/2015,ALPHA BANK A.E.,FRN 15/07/16 EUR100000                  ,92OF,XS1262363440,Medium Term Loans,633.3945992,Greece,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 6 months <= 1 year,> 6 months <= 1 year,24/05/2016,8,0.8,"1,936",6.09%,MAIN,24/08/2015,ALPHA BANK A.E.,FRN 24/05/16 EUR100000                  ,93MF,XS1274550828,Medium Term Loans,2579.022578,Greece,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 6 months <= 1 year,> 6 months <= 1 year,17/06/2016,9,0.7,511,0.15%,MAIN,22/09/2015,ALPHA BANK A.E.,FRN 17/06/16 EUR100000                  ,12XB,XS1286868861,Medium Term Loans,693.329441,Greece,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
42,Structured notes,> 10 years,> 10 years,UNDATED,2,UNDATED,N/A,N/A,TRADING ONLY,10/02/2015,AMUNDI ETF,JPX NIKKEI 400 B JPY (GBP)              ,JPNY,FR0012205623,Structured Products,,France,Europe,ETFS,EXCHANGE TRADED FUNDS,ETEU,GBX
42,Structured notes,> 10 years,> 10 years,UNDATED,4,UNDATED,N/A,N/A,TRADING ONLY,28/04/2015,AMUNDI ETF,S&P 500 BUYBACK USD UCITS(GBP)          ,BYBG,FR0012395499,Structured Products,,France,Europe,ETF2,EXCHANGE TRADED FUNDS (MULTI-CURRENCY),EFEU,GBX
42,Structured notes,> 10 years,> 10 years,UNDATED,4,UNDATED,N/A,N/A,TRADING ONLY,28/04/2015,AMUNDI ETF,S&P 500 BUYBACK USD UCITS(USD)          ,BYBU,FR0012395499,Structured Products,,France,Europe,ETFS,EXCHANGE TRADED FUNDS,ETEU,USD
42,Structured notes,> 10 years,> 10 years,UNDATED,9,UNDATED,N/A,N/A,TRADING ONLY,21/09/2015,AMUNDI ETF,MSCI WORLD LOW CARBON UCITS USD(GBP)    ,LWCG,FR0012658003,Structured Products,,France,Europe,ETF2,EXCHANGE TRADED FUNDS (MULTI-CURRENCY),EFEU,GBX
42,Structured notes,> 10 years,> 10 years,UNDATED,9,UNDATED,N/A,N/A,TRADING ONLY,21/09/2015,AMUNDI ETF,MSCI WORLD LOW CARBON UCITS USD         ,LWCU,FR0012658003,Structured Products,,France,Europe,ETFS,EXCHANGE TRADED FUNDS,ETEU,USD
42,Structured notes,> 10 years,> 10 years,UNDATED,9,UNDATED,N/A,N/A,TRADING ONLY,21/09/2015,AMUNDI ETF,JPX-NIKKEI 400 UCITS GBP DAILY HDG      ,JPHG,FR0012688273,Structured Products,,France,Europe,ETFS,EXCHANGE TRADED FUNDS,ETEU,GBX
42,Structured notes,> 10 years,> 10 years,UNDATED,9,UNDATED,N/A,N/A,TRADING ONLY,21/09/2015,AMUNDI ETF,JPX-NIKKEI 400 UCITS USD DAILY HDG      ,JPHU,FR0012688281,Structured Products,,France,Europe,ETFS,EXCHANGE TRADED FUNDS,ETEU,USD
40,Senior securities,> 5 years <= 10 years,> 5 years <= 10 years,30/04/2023,4,8.0,"1,681",5.00%,MAIN,30/04/2015,ANGLIAN WATER (OSPREY) FINANCINGPLC,5% GTD SEC NTS 30/04/23 GBP100000       ,78XM,XS1223283091,Medium Term Loans,210,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,14/05/2020,5,5.0,0,3.63%,MAIN,14/05/2015,ANGLO AMERICAN CAPITAL PLC,3.625% SNR NTS 14/05/20 USD200000 144A  ,62ZI,US034863AN08,Bonds,0,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIOW,USD
40,Senior securities,> 5 years <= 10 years,> 10 years,14/05/2025,5,10.0,0,4.88%,MAIN,14/05/2015,ANGLO AMERICAN CAPITAL PLC,4.875% SNR NTS 14/05/25 USD200000 144A  ,62ZR,US034863AP55,Bonds,0,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIOW,USD
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,14/05/2020,5,5.0,"2,754",3.63%,MAIN,14/05/2015,ANGLO AMERICAN CAPITAL PLC,3.625% SNR NTS 14/05/20 USD200000 REG S ,62ZH,USG0446NAH73,Bonds,550.2582236,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIOW,USD
40,Senior securities,> 5 years <= 10 years,> 10 years,14/05/2025,5,10.0,"4,203",4.88%,MAIN,14/05/2015,ANGLO AMERICAN CAPITAL PLC,4.875% SNR NTS 14/05/25 USD200000 REG S ,62ZP,USG0446NAJ30,Bonds,419.9422565,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIOW,USD
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,01/04/2020,4,5.0,"2,185",1.50%,MAIN,01/04/2015,ANGLO AMERICAN PLC,1.5% GTD NTS 01/04/20 EUR100000         ,76IG,XS1211292484,Medium Term Loans,436.5348124,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,19/10/2018,4,3.5,"1,889",0.20%,MAIN,21/04/2015,ANHEUSER-BUSCH INBEV SA/NV,FRN 19/10/18 EUR1000                    ,77KZ,BE6276038419,Medium Term Loans,539.9179325,Belgium,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 5 years <= 10 years,> 5 years <= 10 years,20/04/2023,4,8.0,"5,732",0.80%,MAIN,21/04/2015,ANHEUSER-BUSCH INBEV SA/NV,0.8% NTS 20/04/23 EUR1000               ,77KM,BE6276039425,Medium Term Loans,716.2911237,Belgium,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 10 years,> 10 years,18/04/2030,4,15.0,"13,384",1.50%,MAIN,21/04/2015,ANHEUSER-BUSCH INBEV SA/NV,1.5% NTS 18/04/30 EUR1000               ,77KR,BE6276040431,Medium Term Loans,892.0974012,Belgium,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,29/03/2018,4,3.0,0,1.75%,MAIN,01/04/2015,ANZ NEW ZEALAND (INT'L) LD,1.75% NTS 29/03/18 USD200000144A        ,76IB,US00182EAW93,Medium Term Loans,0,New Zealand,Asia,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,USD
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,06/08/2020,8,5.0,0,2.85%,MAIN,06/08/2015,ANZ NEW ZEALAND (INT'L) LD,2.85% NTS 06/08/20 USD200000 144A       ,92YC,US00182EAX76,Medium Term Loans,0,New Zealand,Asia,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,USD
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,29/03/2018,4,3.0,"1,510",1.75%,MAIN,01/04/2015,ANZ NEW ZEALAND (INT'L) LD,1.75% NTS 29/03/18 USD200000 REG S      ,76HT,US00182FAW68,Medium Term Loans,504.1411765,New Zealand,Asia,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,USD
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,06/08/2020,8,5.0,"2,408",2.85%,MAIN,06/08/2015,ANZ NEW ZEALAND (INT'L) LD,2.85% NTS 06/08/20 USD200000 REG S      ,92YE,US00182FAX42,Medium Term Loans,481.141252,New Zealand,Asia,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,USD
40,Senior securities,> 3 months <= 6 months,> 1 year <= 2 years,19/02/2016,1,1.1,162,0.58%,MAIN,20/01/2015,ANZ NEW ZEALAND (INT'L) LD,FRN 19/02/16 GBP100000                  ,44KQ,XS1167826939,Medium Term Loans,150,New Zealand,Asia,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP
43,Covered bonds,> 5 years <= 10 years,> 5 years <= 10 years,27/01/2022,1,7.0,"3,916",0.63%,MAIN,27/01/2015,ANZ NEW ZEALAND (INT'L) LD,0.625% CVD BDS 27/01/22 EUR100000 2015 1,50QP,XS1171526772,Medium Term Loans,559.0600698,New Zealand,Asia,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,EUR
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,27/02/2020,2,5.0,33,0.91%,MAIN,27/02/2015,ANZ NEW ZEALAND (INT'L) LD,FRN 27/02/20 USD1000000                 ,33YO,XS1196090895,Medium Term Loans,6.504065041,New Zealand,Asia,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,USD
40,Senior securities,> 10 years,> 10 years,29/09/2025,9,10.0,184,4.00%,MAIN,29/09/2015,ANZ NEW ZEALAND (INT'L) LD,4% NTS 29/09/25 AUD500000               ,34ZD,XS1294519043,Medium Term Loans,18.42278001,New Zealand,Asia,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,AUD
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,01/05/2018,5,3.0,901,1.08%,MAIN,01/05/2015,ASB FINANCE LD,FRN 01/05/18 GBP100000                  ,79BK,XS1224597648,Medium Term Loans,300,UK,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,GBP
40,Senior securities,> 5 years <= 10 years,> 10 years,25/02/2025,2,10.0,368,1.22%,MAIN,25/02/2015,ASSA ABLOY AB,1.217% NTS 25/02/25 EUR100000           ,33XA,XS1195432585,Medium Term Loans,36.74039239,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 10 years,> 10 years,17/04/2030,4,15.0,761,1.25%,MAIN,17/04/2015,ASSA ABLOY AB,1.25% NTS 17/04/30 EUR250000            ,77BL,XS1219616106,Medium Term Loans,50.70993915,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,08/09/2020,9,5.0,256,0.88%,MAIN,08/09/2015,ASSA ABLOY AB,0.875% NTS 08/09/20 EUR100000           ,94QP,XS1287844895,Medium Term Loans,51.07029993,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
