ISIN,PRA_ITEM_4748,SECURITY_NAME,COUPON_RATE,3M_LIBOR,SPREAD,COUPON,COMPANY_NAME,COMPANY_PARENT,ICB_INDUSTRY,INDEX,SECURITY_START_DATE,MATURITY_DATE,DURATION,CURRENT_ISSUANCE,COMPANY_RANK,TIDM,SECURITY_DESCRIPTION,WEIGHTED_AVG,MONEY_RAISED_GBP,COUNTRY_OF_INCORPORATION,WORLD_REGION,MARKET_SEGMENT_CODE,MARKET_SEGMENT,MARKET_SECTOR_CODE,PARENT_CURRENCY,TRADING_CURRENCY
XS1287779034,42,0% MULTI CALL NTS 18/09/45 USD1000000   ,n/a,0.30%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,18/09/2015,18/09/2045,30,1,6,96EB,Medium Term Loans,#VALUE!,"169,227,777",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0209818227,42,0% MULTI CALL NTS 19/01/40 EUR100000    ,n/a,2.14%,n/a,N,ROYAL BANK OF SCOTLAND PLC,ROYAL BANK SCOT,Financials,FTSE 100,21/01/2005,19/01/2040,35,11,13,31XA,Medium Term Loans,#VALUE!,"2,760,090",UK,Europe,MISC,MISCELLANEOUS (NON QUOTED),DIPS,EUR,EUR
XS0096045025,40,0% NOTES 15/3/2038 GBP1000              ,0.00%,5.19%,n/a,Y,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,07/04/1999,15/03/2020,21,17,3,55NO,Medium Term Loans,#VALUE!,"29,961,102",UK,Europe,MISC,MISCELLANEOUS (NON QUOTED),DIPS,GBP,GBP
XS0500923304,40,0% NTS 01/06/16 GBP1                    ,0.00%,0.60%,n/a,Y,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,14/04/2010,01/06/2016,6,6,3,44QA,Medium Term Loans,#VALUE!,"15,000,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP,GBP
XS0945197720,40,0% NTS 01/07/43 EUR1000                 ,0.00%,0.22%,n/a,Y,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,01/07/2013,01/07/2043,30,3,6,10MF,Medium Term Loans,#VALUE!,"17,124,829",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0590160676,40,0% NTS 01/09/16 EUR100000               ,0.00%,1.08%,n/a,Y,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,18/02/2011,01/09/2016,6,5,6,46LJ,Medium Term Loans,#VALUE!,"5,896,805",UK,Europe,CRTR,CORP.RETAIL DEBT REG.MKT.TD/RP,UIDR,EUR,EUR
XS0401837280,40,0% NTS 01/12/28 EUR50000                ,0.00%,3.82%,n/a,Y,VODAFONE GROUP PLC,VODAFONE GRP.,Telecommunications,FTSE 100,01/12/2008,01/12/2028,20,8,70,92WR,Medium Term Loans,#VALUE!,"46,404,070",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0947491154,40,0% NTS 02/07/43 USD200000               ,0.00%,0.14%,n/a,Y,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,03/07/2013,02/07/2043,30,3,6,10NT,Medium Term Loans,#VALUE!,"9,829,500",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0480362283,40,0% NTS 03/05/16 GBP1 S944               ,0.00%,0.62%,n/a,Y,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,17/02/2010,03/05/2016,6,6,3,77FP,Medium Term Loans,#VALUE!,"60,000,000",UK,Europe,CRTR,CORP.RETAIL DEBT REG.MKT.TD/RP,UIDR,GBP,GBP
XS0480392942,40,0% NTS 03/05/16 GBP1 S945               ,0.00%,0.62%,n/a,Y,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,17/02/2010,03/05/2016,6,6,3,77FQ,Medium Term Loans,#VALUE!,"60,000,000",UK,Europe,CRTR,CORP.RETAIL DEBT REG.MKT.TD/RP,UIDR,GBP,GBP
XS0480393080,40,0% NTS 03/05/16 GBP1 S946               ,0.00%,0.62%,n/a,Y,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,17/02/2010,03/05/2016,6,6,3,77FS,Medium Term Loans,#VALUE!,"60,000,000",UK,Europe,CRTR,CORP.RETAIL DEBT REG.MKT.TD/RP,UIDR,GBP,GBP
